Day,Timestamp,Total Flow,Average Occupancy,Average Speed
0,1130,372,0.0913,65.7
1,1200,,0.0945,67.8
2,1230,,0.1074,65.9
3,1300,471,0.1078,67
4,1330,462,0.1085,
5,1400,,0.1137,66.1
6,1430,552,0.1286,
0,1500,543,0.1239,
1,1530,618,,64.4
2,1600,544,0.1283,63.4
3,1630,583,0.1343,
4,1700,593,0.1476,61.7
5,1730,,0.1183,64.1
6,1800,,0.1291,62
0,1830,495,0.1144,64.1
1,1900,,0.1039,65.3
2,1930,315,,67.5
3,2000,315,0.0722,
4,2030,257,0.0551,67.4
5,2100,251,0.0617,
6,2130,,0.0531,64.3
0,2200,,0.0504,64.8
1,2230,,0.0388,67.6
2,2300,128,0.0294,65.8
3,2330,96,0.0232,
4,100,51,0.012,
5,130,33,0.0072,65.6
6,200,30,0.0071,67.1
0,230,33,,67.4
1,300,21,0.0064,67.3
2,330,29,,64.7
3,400,36,0.0092,66
4,430,52,0.0159,62.2
5,500,107,0.0268,65.4
6,530,153,,68.1
0,600,192,,69
1,630,276,,67.9
2,700,296,0.0628,68.6
3,730,347,0.0778,
4,800,,0.0858,65.6
5,830,358,0.0808,65.8
6,900,,0.0818,64.8
0,930,391,,63.3
1,1000,383,0.0915,62.6
2,1030,427,0.0968,63.4
3,1100,457,0.1028,64.2
4,1130,432,0.1057,
5,1200,478,,61
6,1230,529,0.1263,63
0,1300,499,0.1172,62.8
1,1330,498,0.1179,
2,1400,465,0.0999,65.7
3,1430,567,0.136,61.6
4,1500,532,,62.5
5,1530,571,0.1282,63.4
6,1600,536,0.1238,63.7
0,1630,575,0.1307,63.9
1,1700,587,0.1504,
2,1730,452,0.1177,51
3,1800,526,0.1268,62.4
4,1830,,0.1327,62
5,1900,468,0.1145,63.7
6,1930,495,0.1145,65.4
0,2000,346,,69.5
1,2030,,0.0692,68.6
2,2100,274,0.0611,
3,2130,262,0.0589,
4,2200,269,0.0645,66.7
5,2230,,0.0469,68.2
6,2300,203,0.044,68.5
0,2330,,0.0239,68.4
1,100,71,0.0151,69.7
2,130,63,0.0127,
3,200,58,0.013,
4,230,,0.0123,69.3
5,300,51,0.0114,
6,330,47,0.0123,
0,400,,0.01,67.2
1,430,,0.0111,68.5
2,500,59,0.0126,71.2
3,530,71,0.0154,72.2
4,600,123,0.0261,72
5,630,140,0.0334,71.2
6,700,202,0.0459,70.3
0,730,225,,71.9
1,800,264,0.0524,
2,830,,0.0695,69.5
3,900,373,0.0794,69.8
4,930,442,,71.3
5,1000,471,,69.7
6,1030,463,0.0976,69.3
0,1100,,0.1077,68
1,1130,526,0.1103,
2,1200,547,0.1196,66.9
3,1230,522,0.1173,
4,1300,527,,66
5,1330,491,0.1041,
6,1400,520,0.1157,65.2
0,1430,577,,66.1
1,1500,561,0.1182,68.2
2,1530,592,0.122,68.6
3,1600,,0.1157,68.6
4,1630,,0.1119,68.6
5,1700,501,,68.5
6,1730,580,,66
0,1800,510,,65.7
1,1830,,0.0952,68.7
2,1900,398,0.0848,68.3
3,1930,320,0.065,70
4,2000,339,0.0722,68.7
5,2030,300,0.0615,69.5
6,2100,292,0.062,68.2
0,2130,140,,67.8
1,2200,258,0.0527,68.6
2,2230,244,,69.4
3,2300,199,0.0423,68.7
4,2330,149,0.0302,
5,100,82,0.016,70.3
6,130,74,0.0147,
0,200,89,0.0187,67.3
1,230,,0.0122,70.9
2,300,48,,70.2
3,330,31,0.0066,69.5
4,400,41,0.0091,68.4
5,430,32,,70.7
6,500,33,0.0063,72.3
0,530,46,0.0095,
1,600,70,0.014,
2,630,108,0.0227,70.7
3,700,116,0.0256,71.3
4,730,156,0.0319,
5,800,198,0.0408,69.8
6,830,242,0.0497,69.3
0,900,272,,70.5
1,930,308,0.0609,71
2,1000,382,0.0774,70.2
3,1030,463,0.0922,70.2
4,1100,441,,69.9
5,1130,403,0.0824,69.8
6,1200,,0.0883,69.6
0,1230,544,0.1167,67.7
1,1300,476,0.0964,69.5
2,1330,480,0.097,68.5
3,1400,,0.0868,67.8
4,1430,510,0.1032,69.6
5,1500,484,,69.9
6,1530,493,0.0998,69.3
0,1600,564,0.1182,68.2
1,1630,,0.5085,11.9
2,1700,388,0.4194,13.2
3,1730,432,0.4017,19.7
4,1800,,0.2321,29.4
5,1830,491,0.1095,
6,1900,376,0.0788,68.5
0,1930,334,0.0699,
1,2000,371,,67.1
2,2030,305,0.062,67.8
3,2100,283,0.0606,66.5
4,2130,222,0.0463,67.1
5,2200,224,0.0487,67.7
6,2230,168,,68.6
0,2300,133,0.028,66
1,2330,150,0.0317,65.7
2,130,40,0.0087,64.1
3,200,33,0.0086,59.6
4,230,,0.006,61.4
5,300,30,0.0093,58.3
6,330,39,0.0103,57.5
0,400,,0.0149,62.5
1,430,82,0.0192,59.7
2,500,153,0.0348,68.3
3,530,202,0.046,64.3
4,600,290,0.0638,64.1
5,630,,0.0722,65
6,700,444,,65.2
0,730,427,0.0902,66.5
1,800,368,0.0815,64.8
2,830,414,0.092,
3,900,377,0.0828,64.5
4,930,361,0.081,62.5
5,1000,393,0.0889,
6,1030,393,0.0928,
0,1100,425,0.1041,62.4
1,1130,387,0.0915,62.7
2,1200,370,0.0846,64.2
3,1230,,0.0952,63
4,1300,438,0.1056,62.4
5,1330,406,0.0927,64.5
6,1400,423,,63
0,1430,497,,63.2
1,1500,,0.1062,65.6
2,1530,503,0.1134,65.3
3,1600,599,0.1345,64.8
4,1630,522,0.1134,65.9
