Day,Timestamp,Total Flow,Average Occupancy,Average Speed
1, 0900,484,0.1078,
2, 0930,412,0.0945,
3, 1000,441,0.1022,
4, 1030,438,0.1059,67.4
5, 1100,399,0.0949,67.3
6, 1130,,0.1191,66.6
0, 1200,,0.1036,67.0
1, 1230,478,,66.5
2, 1300,477,,66.7
3, 1330,441,,65.0
4, 1400,488,0.1127,
5, 1430,560,0.1268,
6, 1500,543,0.1254,
0, 1530,583,0.1358,
1, 1600,586,0.1345,65.6
2, 1630,579,0.1477,62.8
3, 1700,555,0.25,31.9
4, 1730,534,0.2932,31.3
5, 1800,,0.1172,66.5
6, 1830,493,,67.1
0, 1900,360,,67.9
1, 1930,370,0.0806,
2, 2000,297,0.0696,
3, 2030,315,0.0722,67.6
4, 2100,257,,68.2
5, 2130,240,,69.0
6, 2200,236,,66.2
0, 2230,178,,65.7
1, 2300,133,0.0316,
2, 0030,73,0.0166,
3, 0100,43,0.01,68.1
4, 0130,,0.0111,64.0
5, 0200,,0.0089,65.8
6, 0230,,0.0081,65.5
0, 0300,39,0.0109,
1, 0330,30,0.0094,63.0
2, 0400,38,0.0111,66.3
3, 0430,68,0.0161,68.2
4, 0500,93,0.0246,66.4
5, 0530,,0.0403,70.6
6, 0600,,0.0562,69.2
0, 0630,293,,68.5
1, 0700,372,,67.7
2, 0730,393,,68.6
3, 0800,375,0.0827,
4, 0830,420,0.0974,
5, 0900,450,0.1039,66.9
6, 0930,,0.0887,67.3
0, 1000,,0.1131,65.5
1, 1030,,0.1213,66.3
2, 1100,,0.1075,65.6
3, 1130,467,,65.3
4, 1200,421,0.0986,
5, 1230,416,0.0952,
6, 1300,508,0.1177,66.3
0, 1330,484,0.1079,67.2
1, 1400,472,0.1086,66.9
2, 1430,593,0.1364,65.9
3, 1500,,0.1119,67.7
4, 1530,,0.1296,67.4
5, 1600,607,,64.1
6, 1630,571,,66.6
0, 1700,577,0.1292,
1, 1730,578,0.129,
2, 1800,503,0.1138,
3, 1830,448,0.096,
4, 1900,,0.0906,68.2
5, 1930,,0.0791,68.7
6, 2000,,0.0808,66.9
0, 2030,,0.0765,65.7
1, 2100,285,,66.9
2, 2130,266,,66.4
3, 2200,244,,68.6
4, 2230,180,,66.3
5, 2300,154,0.0386,
6, 0030,,0.0251,70.3
0, 0100,,0.0081,71.4
1, 0130,,0.0123,69.6
2, 0200,,0.0074,70.4
3, 0230,25,,69.2
4, 0300,34,,69.6
5, 0330,29,,68.7
6, 0400,36,0.011,
0, 0430,50,0.0144,
1, 0500,86,0.0236,66.0
2, 0530,146,0.0333,68.6
3, 0600,199,0.0511,65.7
4, 0630,,0.065,66.5
5, 0700,,0.0769,67.9
6, 0730,344,,68.1
0, 0800,374,,69.5
1, 0830,354,,67.9
2, 0900,393,0.0851,
3, 0930,431,0.1001,
4, 1000,418,0.1019,66.1
5, 1030,404,0.0987,66.5
6, 1100,410,0.094,67.6
0, 1130,,0.1125,67.5
1, 1200,489,,66.3
2, 1230,473,,66.1
3, 1300,505,,66.5
4, 1330,494,0.1085,
5, 1400,529,0.1205,66.4
6, 1430,554,0.128,65.2
0, 1500,,0.1318,66.0
1, 1530,534,,38.0
2, 1600,498,0.1086,65.8
3, 1630,564,0.1256,66.0
