Timestamp,Milliseconds,X,Y,Z,act
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25086,-0.75193834,0.251091,-1.9877363,W
2019/10/18 9:01,25251,0.081992626,-0.42267704,-0.18613923,W
2019/10/18 9:01,25502,-0.45153046,-0.37270927,-0.87507546,W
2019/10/18 9:01,25751,-1.4040831,-0.19784069,0.7159879,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
2019/10/18 9:01,34079,-0.74695754,-0.68957996,0.6614888,W
